constraint verif restriction failures tests
spread impl continuous 0 10000
spread impl discrete 0 10000
spread impl_repair continuous 0 10000
spread impl_repair discrete 0 10000
spread checker continuous 0 10000
spread checker discrete 0 10000
gather impl continuous 0 10000
gather impl discrete 0 10000
gather impl_repair continuous 0 10000
gather impl_repair discrete 0 10000
gather checker continuous 0 10000
gather checker discrete 0 10000
among impl continuous 0 10000
among impl discrete 0 10000
among impl_repair continuous 0 10000
among impl_repair discrete 0 10000
among checker continuous 0 10000
among checker discrete 0 10000
split impl continuous 0 10000
split impl discrete 0 10000
split impl_repair continuous 0 10000
split impl_repair discrete 0 10000
split checker continuous 8668 10000
split checker discrete 8685 10000
splitAmong impl continuous 10000 10000
